c_sh,cutoff_id,cutoff_index,training_end_date,forecast_week,date,reference_cases,history_conditioning_enabled,history_weeks,recent_transmission_multiplier,history_conditioning_objective,history_conditioning_optimizer_success,anchor_exposed_per_case,anchor_infectious_per_case,origin_exposed_total,origin_infectious_total,origin_sick_total,observed_cases,fitted_expected_cases,p10_cases,median_cases,p90_cases,training_windows,global_fit_training_windows,global_parameters_refitted_each_cutoff,training_objective,outbreak_threshold,observed_six_week_event,predicted_six_week_event_probability,event_brier_score,persistence_event_probability,persistence_event_brier_score
0.5,3,90,2025-09-15,2,2025-09-29,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,4.0,4.877899256327449,2.0,5.0,8.100000000000009,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.5,3,90,2025-09-15,3,2025-10-06,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,2.0,4.743858283828161,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.5,3,90,2025-09-15,4,2025-10-13,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,1.0,4.671198533205507,2.0,5.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.5,3,90,2025-09-15,5,2025-10-20,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,7.0,4.643626780719251,2.0,4.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.5,3,90,2025-09-15,6,2025-10-27,6.0,True,4,1.0302934844364613,0.14778796906900876,True,3.7548749682448537,0.17677792399840972,13.117114319879537,2.2494687363052694,6.288709193866518,5.0,4.6502318476303,2.0,4.0,8.0,84,0,False,,10.0,False,0.11,0.0121,0.0,0.0
0.5,4,96,2025-10-27,1,2025-11-03,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,6.0,3.759898368728976,1.0,3.0,6.1000000000000085,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.5,4,96,2025-10-27,2,2025-11-10,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,7.0,3.6653734734628465,1.0,3.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.5,4,96,2025-10-27,3,2025-11-17,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,8.0,3.6367003005042178,1.0,4.0,6.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.5,4,96,2025-10-27,4,2025-11-24,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.6524934382786305,1.0,3.0,7.0,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
0.5,4,96,2025-10-27,5,2025-12-01,5.0,True,4,1.0499677756110548,0.39318699024504267,True,6.942991822046995,4.015334063457145e-05,9.656377343878082,1.6444475749195482,4.369914790149788,12.0,3.700383460561321,1.0,3.0,6.1000000000000085,90,0,False,,10.0,True,0.01,0.9801,0.0,1.0
